,Restaurant_URL,Dish_Name
0,/ny/new-york/141126-cc-s-cafe/menu/,americano
1,/ny/new-york/141126-cc-s-cafe/menu/,apple turnover
2,/ny/new-york/141126-cc-s-cafe/menu/,bagel
3,/ny/new-york/141126-cc-s-cafe/menu/,banana bread pudding
4,/ny/new-york/141126-cc-s-cafe/menu/,banana split smoothie
5,/ny/new-york/141126-cc-s-cafe/menu/,berry smooth smoothie
6,/ny/new-york/141126-cc-s-cafe/menu/,bottled water
7,/ny/new-york/141126-cc-s-cafe/menu/,brownie
8,/ny/new-york/141126-cc-s-cafe/menu/,cafe au lait
9,/ny/new-york/141126-cc-s-cafe/menu/,cafe con leche
10,/ny/new-york/141126-cc-s-cafe/menu/,cafe latte
11,/ny/new-york/141126-cc-s-cafe/menu/,canned soda
12,/ny/new-york/141126-cc-s-cafe/menu/,cappuccino
13,/ny/new-york/141126-cc-s-cafe/menu/,carrot cake
14,/ny/new-york/141126-cc-s-cafe/menu/,chai latte
15,/ny/new-york/141126-cc-s-cafe/menu/,chicken tarragon sandwich
16,/ny/new-york/141126-cc-s-cafe/menu/,coffee
17,/ny/new-york/141126-cc-s-cafe/menu/,coleslaw
18,/ny/new-york/141126-cc-s-cafe/menu/,croissant
19,/ny/new-york/141126-cc-s-cafe/menu/,cuban sandwich
20,/ny/new-york/141126-cc-s-cafe/menu/,cupcakes
21,/ny/new-york/141126-cc-s-cafe/menu/,curry sandwich
22,/ny/new-york/141126-cc-s-cafe/menu/,double espresso
23,/ny/new-york/141126-cc-s-cafe/menu/,eggs on bagel
24,/ny/new-york/141126-cc-s-cafe/menu/,eggs on bread
25,/ny/new-york/141126-cc-s-cafe/menu/,espresso
26,/ny/new-york/141126-cc-s-cafe/menu/,flavored iced tea
27,/ny/new-york/141126-cc-s-cafe/menu/,hot chocolate
28,/ny/new-york/141126-cc-s-cafe/menu/,hot tea
29,/ny/new-york/141126-cc-s-cafe/menu/,house egg wrap
30,/ny/new-york/141126-cc-s-cafe/menu/,iced tea
31,/ny/new-york/141126-cc-s-cafe/menu/,italian egg wrap
32,/ny/new-york/141126-cc-s-cafe/menu/,just bananas smoothie
33,/ny/new-york/141126-cc-s-cafe/menu/,large cookie
34,/ny/new-york/141126-cc-s-cafe/menu/,lemonade
35,/ny/new-york/141126-cc-s-cafe/menu/,macchiato
36,/ny/new-york/141126-cc-s-cafe/menu/,make your own egg wrap
37,/ny/new-york/141126-cc-s-cafe/menu/,make your own salad
38,/ny/new-york/141126-cc-s-cafe/menu/,mexican egg wrap
39,/ny/new-york/141126-cc-s-cafe/menu/,milk
40,/ny/new-york/141126-cc-s-cafe/menu/,mixed greens
41,/ny/new-york/141126-cc-s-cafe/menu/,mocha
42,/ny/new-york/141126-cc-s-cafe/menu/,muffin
43,/ny/new-york/141126-cc-s-cafe/menu/,omelette
44,/ny/new-york/141126-cc-s-cafe/menu/,orange juice
45,/ny/new-york/141126-cc-s-cafe/menu/,potato salad
46,/ny/new-york/141126-cc-s-cafe/menu/,quesadilla
47,/ny/new-york/141126-cc-s-cafe/menu/,quiche
48,/ny/new-york/141126-cc-s-cafe/menu/,ray of sunshine smoothie
49,/ny/new-york/141126-cc-s-cafe/menu/,snapple
50,/ny/new-york/141126-cc-s-cafe/menu/,soup and salad
51,/ny/new-york/141126-cc-s-cafe/menu/,soup and sandwich
52,/ny/new-york/141126-cc-s-cafe/menu/,soup of  day
53,/ny/new-york/141126-cc-s-cafe/menu/,soy goodness smoothie
54,/ny/new-york/141126-cc-s-cafe/menu/,spanish egg wrap
55,/ny/new-york/141126-cc-s-cafe/menu/,spinach salad
56,/ny/new-york/141126-cc-s-cafe/menu/,stewarts root beer
