Restaurant_Name	Restaurant_URL	Cuisine_Type	Address
Le Baratin	/ny/new-york/361030-le-baratin/menu/	French, Bistro	26 Greenwich Ave New York, NY, 10011
North River	/ny/new-york/381300-north-river/menu/	American, Cocktails	166 1st Ave New York, NY, 10009
B4	/ny/new-york/360670-b4/menu/	American (New)	235 E 4th St New York, NY, 10009
Grill On Wheels	/ny/new-york/357738-grill-on-wheels/menu/	Sandwiches, Chicken, Kosher	Location Varies New York, NY, 10018
SpaHa Soul	/ny/new-york/374424-spaha-soul/menu/	Soul Food, Vegetarian	2270 1st Ave New York, NY, 10035
America's Finest Deli	/ny/new-york/375922-america-s-finest-deli/menu/	Cheesesteaks, Deli Food, Sandwiches	46 Trinity Pl New York, NY, 10006
Mexican Festival Restaurant	/ny/new-york/380213-mexican-festival-restaurant/menu/	Mexican, Vegetarian	2672 Broadway Ave New York, NY, 10025
#Mazeish	/ny/new-york/437106-mazeish/menu/	Mediterranean, Middle Eastern, Persian	137 Rivington St New York, NY, 10002
Cafe Clover	/ny/new-york/478376-cafe-clover/menu/	American (New), Healthy	10 Downing St New York, NY, 10014
Houston Village Farm Deli Cafe & Grocery	/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/	Deli Food, Sandwiches	61 1st Ave New York, NY, 10003
Ippin	/ny/new-york/334552-ippin/menu/	Japanese, Sushi, Noodles	141 1st Ave New York, NY, 10003
At Nine	/ny/new-york/373668-at-nine/menu/	Thai	592 9th Ave New York, NY, 10036
Cafe Nadery	/ny/new-york/357760-cafe-nadery/menu/	Coffee & Tea, Persian	16 W 8th St New York, NY, 10011
Culture Fix	/ny/new-york/358904-culture-fix/menu/	Spanish, Tapas	9 Clinton St New York, NY, 10002
Sam's Falafel Stand	/ny/new-york/360762-sam-s-falafel-stand/menu/	Middle Eastern	Cedar St New York, NY, 10006
Macchiato Espresso Bar	/ny/new-york/360181-macchiato-espresso-bar/menu/	Coffee & Tea, Sandwiches	666 5th Ave New York, NY, 10019
Ambizza Cafe Truck	/ny/new-york/355873-ambizza-cafe-truck/menu/	Middle Eastern, Sandwiches	Water St New York, NY, 10004
124 Old Rabbit Club	/ny/new-york/356373-124-old-rabbit-club/menu/	Cocktails	124 MacDougal St New York, NY, 10012
Monte-Carlo	/ny/new-york/478425-monte-carlo/menu/	French	181 E 78th St New York, NY, 10075
Upland	/ny/new-york/477580-upland/menu/	Italian, Californian	345 Park Ave S New York, NY, 10010
Atwood	/ny/new-york/477811-atwood/menu/	American (New), Cocktails	986 2nd Ave New York, NY, 10022
Confessional	/ny/new-york/386418-confessional/menu/	Tapas, Cocktails, Nuevo Latino	308 E 6th St New York, NY, 10003
Tio Luca Cocina & Vino Bar	/ny/new-york/386430-tio-luca-cocina-vino-bar/menu/	Alcohol, Latin American, Tapas	421 Lenox Ave New York, NY, 10027
Dessert Delivery	/ny/new-york/2796-dessert-delivery/menu/	Bakery & Pastries, Desserts	55th St New York, NY, 10022
Byblos	/ny/new-york/2990-byblos/menu/	Middle Eastern, Tapas	80 Madison Ave New York, NY, 10016
Arome Cafe	/ny/new-york/4745-arome-cafe/menu/	Sushi, Deli Food, Sandwiches	325 Broadway Ave New York, NY, 10007
East Side Gourmet Deli	/ny/new-york/4829-east-side-gourmet-deli/menu/	Deli Food, Sandwiches	53 Ave B New York, NY, 10009
Corrado	/ny/new-york/52263-corrado/menu/	Bakery & Pastries, Coffee & Tea, Sandwiches	1361 Lexington Ave New York, NY, 10128
CC's Cafe	/ny/new-york/141126-cc-s-cafe/menu/	Coffee & Tea, Sandwiches	496 Hudson St New York, NY, 10014
Emack & Bolio's	/ny/new-york/228156-emack-bolio-s/menu/	Desserts	73 W Houston St New York, NY, 10012
Dining Room Management Group	/ny/new-york/250047-dining-room-management-group/menu/	Chinese	102 Mott St New York, NY, 10013
Hop Lee Restaurant	/ny/new-york/250130-hop-lee-restaurant/menu/	Chinese	16 Mott St New York, NY, 10013
Ageha Sushi	/ny/new-york/335043-ageha-sushi/menu/		767 9th Ave New York, NY, 10019
Da Noi	/ny/new-york/337190-da-noi/menu/		214 E 49th St New York, NY, 10017
Pinche Taqueria	/ny/new-york/337547-pinche-taqueria/menu/	Mexican	103 W 14th St New York, NY, 10011
Jacques Torres Chocolate	/ny/new-york/331040-jacques-torres-chocolate/menu/	Desserts	285 Amsterdam Ave New York, NY, 10023
Ajisai Japanese Restaurant	/ny/new-york/333616-ajisai-japanese-restaurant/menu/	Japanese, Sushi	795 Lexington Ave New York, NY, 10065
Ajisai Japanese Restaurant	/ny/new-york/333616-ajisai-japanese-restaurant/menu/	Japanese, Sushi	795 Lexington Ave New York, NY, 10065
Chopt Creative Salad Co.	/ny/new-york/333734-chopt-creative-salad-co/menu/	Sandwiches, Salads	11 W 42nd St New York, NY, 10036
SakaMai	/ny/new-york/342726-sakamai/menu/	Japanese, Cocktails, Gastropub	157 Ludlow St New York, NY, 10002
Benvenuto Tribeca	/ny/new-york/299880-benvenuto-tribeca/menu/	Deli Food, Sandwiches	369 Greenwich St New York, NY, 10013
Imperial Pizzeria	/ny/new-york/302273-imperial-pizzeria/menu/	Italian, Pizza, Vegetarian	913 Columbus Ave New York, NY, 10025
Falafel on Broadway	/ny/new-york/308682-falafel-on-broadway/menu/	Middle Eastern	3151 Broadway Ave New York, NY, 10027
Falafel on Broadway	/ny/new-york/308682-falafel-on-broadway/menu/	Middle Eastern	3151 Broadway Ave New York, NY, 10027
