Index,Dish_Name,Restaurant_Name,Similar_Dishes,Similar_Indexes,Similar_Scores
0,  american hero,['Yours Wholesome Foods Deli & Grocery'],"['peppers and eggs hero', 'italian hero', 'italian hero', 'american hero sandwich', 'american hero', 'eggs on a roll sandwich']","['/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/']","[10, 10, 10, 10, 10, 10]"
1,  heart attack,['Yours Wholesome Foods Deli & Grocery'],"['broccoli rabe', 'sauteed broccoli rabe', 'sauteed broccoli', 'sauteed broccoli', 'chicken cutlet sandwich small', 'grilled vegetable medley']","['/ny/new-york/356687-ciccio/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/250130-hop-lee-restaurant/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/']","[10, 10, 10, 10, 10, 8]"
2, black forest ham sandwich,['Yours Wholesome Foods Deli & Grocery'],"['black forest ham sandwich', 'black forest ham sandwich', 'cordon bleu chicken cutlet sandwich', 'chicken cordon bleu sandwich', 'boiled ham sandwich', 'black forest ham', 'black forest ham']","['/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/358862-andy-s-deli/menu/']","[10, 10, 9, 9, 9, 7, 7]"
3, colombian coffee,"[""Manny's Gourmet""]","['caramel pecan', 'macaroons', 'black  white cookie', 'black  white cookie', 'black and white cookie', 'black and white cookie', 'reeses peanut butter']","['/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/356355-the-east-wing-fka-the-havana-room/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/365758-blu-cafe/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/2796-dessert-delivery/menu/']","[9, 9, 9, 9, 9, 9, 8]"
4, honey turkey sandwich,['Yours Wholesome Foods Deli & Grocery'],"['roasted turkey', 'honey turkey sandwich', 'open face turkey', 'preserved meat delight', 'honey smoked turkey sandwich']","['/ny/new-york/361702-12-corners/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/']","[10, 10, 6, 5, 4]"
5, italian sandwich,['Yours Wholesome Foods Deli & Grocery'],"['healthy omelet', 'pepper jack cheese sandwich', 'two egg breakfast sandwich', 'egg with cheese sandwich', 'egg with cheese sandwich', 'grilled cheese sandwich with fries']","['/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/']","[5, 4, 4, 4, 4, 4]"
6, litter soda,['Yours Wholesome Foods Deli & Grocery'],"['plain pound cake', 'pancake', 'pancakes', 'pancakes', 'pancakes', 'muffins', 'sunflower seed cake']","['/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/355931-delimarie/menu/', '/ny/new-york/478376-cafe-clover/menu/']","[10, 10, 10, 10, 10, 10, 10]"
7, monte cristo sandwich,['Yours Wholesome Foods Deli & Grocery'],"['monte cristo sandwich', 'ham and swiss croissant', 'ham and cheese croissant', 'ham and cheese croissant', 'alpine lace swiss sandwich', 'hard boiled eggs']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/', '/ny/new-york/366185-pushcart-coffee/menu/', '/ny/new-york/4745-arome-cafe/menu/', '/ny/new-york/358862-andy-s-deli/menu/']","[10, 9, 9, 9, 9, 7]"
8, philly cheese steak,['Yours Wholesome Foods Deli & Grocery'],"['philly cheese steak', 'italian philly steak', 'philly cheese steak', 'philly cheese steak', 'sausage and peppers hero', 'pork chop lunch special']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/373668-at-nine/menu/']","[10, 10, 10, 10, 8, 5]"
9, reuben sandwich,['Yours Wholesome Foods Deli & Grocery'],"['reuben sandwich', 'reuben corned beef sandwich', 'rueben sandwich', 'grilled rueben sandwich', 'corned beef sandwich', 'corned beef sandwich', 'corned beef sandwich']","['/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/4829-east-side-gourmet-deli/menu/', '/ny/new-york/318476-q-n-foods/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/4745-arome-cafe/menu/']","[10, 10, 10, 10, 9, 9, 9]"
